id,name,website,address,city,state,phone
1,Golden State CrossFit,http://goldenstatecrossfit.com/,11174 La Grange Ave.,Los Angeles,CA,(818) 665-6512
2,CrossFit Born-Again,http://www.crossfitbornagain.com,2015 Main Dr. Suite C,Fayetteville,AR,(479) 799-9075
3,CrossFit Persist,http://www.crossfitpersist.com/,165 Amboy Avenue Unit 705,Morganville,NJ,(732) 687-1050
4,Far North CrossFit,http://www.farnorthcrossfit.com,4/33 Commerce Street,Whangarei,Northland,021 022 09234
5,CrossFit Oconee,http://www.crossfitoconee.com/,1071 Jamestown Boulevard Suite E1,Watkinsville,GA,(706) 201-4210
6,CrossFit Dubuque,http://crossfitdubuque.com/,3188 Hughes Court,Dubuque,IA,(563) 552-8423
7,Ballston CrossFit,http://www.ballstoncrossfit.com/,1110 North Glebe,Arlington,VA,(703) 688-2238
8,CrossFit Off The Chain,http://www.crossfitoffthechain.com,5305 Smokehouse CT.,Ft. Belvior,VA,(240) 393-9036
9,CrossFit Moorabbin,http://www.crossfitmoorabbin.com,16 Coachranes Road,Moorabbin,Victoria,+61 (0)418 565 065
10,CrossFit Bartlesville,http://www.crossfitbartlesville.com,3822 SE Kentucky Suite 13-14,Bartlesville,OK,(918) 350-0120
11,Armor CrossFit,http://www.armorcrossfit.com/,"880 Macguire Road, Unit B",Ocoee,FL,(407) 614-8997
12,CrossFit 5150,http://www.crossfit5150.com,3221 Industry Drive,Signal Hill,CA,(714) 883-2182
13,CrossFit Karlstad,http://www.crossfitkarlstad.se/,Kolvgatan 1A,Karlstad,Värmlands Län,+46708282471
14,San Angelo CrossFit,http://www.sanangelocrossfit.com/,133 East Concho Avenue,San Angelo,Texas,(469) 693-4630
15,SuperHuman CrossFit,http://genesisstrength.com/crossfit-superhuman/,8525 Jack Rabbit Rd,Houston,TX,(410) 644-1929
16,CrossFit Sua Sponte,,6675 Falls of the Neuse Road,Raleigh,NC,(980) 253-9176
17,CrossFit Reebok Stolitsa,,"Perekopskaya str, h 22 fl 145",Moscow,Russia,79153737403
18,CrossFit Sussex,http://www.crossfitsussexnb.com/,208 Church Ave,Sussex,NB,(506) 434-0628
19,Gladiatorivs CrossFit Bel Air,http://www.gladiatorivscrossfitbelair.com,135 Industry Ln,Forest Hill,MD,(443) 564-1882
20,CrossFit Sugar Land,http://crossfitsugarland.com/,225 Gonyo Lane Unit 303,Richmond,TX,(713) 962-9515
21,CrossFit Conshohocken,http://www.crossfitconshohocken.com/,701 East Elm Street,Conshohocken,PA,(215) 435-4484
22,CrossFit 603,http://crossfit603.com/,98 Old Derry Road,Hudson,NH,(603) 490-3188
23,Auxiliary CrossFit,http://auxiliarycrossfit.com/,39 Oakwood Ave,Toronto,ON,(416) 859-8266
24,CrossFit Waikiki,,1777 Ala Moana Blvd.,Honolulu,HI,(808) 895-6063
25,CrossFit Honor,http://www.crossfithonor.com,"7562 Penn Dr., Suite 160",Allentown,PA,(610) 248-8050
26,CrossFit Reebok Stockport,,Reebok Ltd. Pepper Rd,Cheshire,England,447595344833
27,CrossFit APX,http://crossfitapx.com/,11301 Penny Road,Cary,NC,(310) 663-7474
28,Aliso CrossFit,http://www.alisocrossfit.com,6 Journey Suite 300,Aliso Viejo,CA,(949) 374-9110
