type,category,name,workout_female,workout_male,scoring_method,scoring_notes,workout_notes
Benchmark,Girl,Angie,"100 Pull-ups
100 Push-ups
100 Sit-ups
100 Squats","100 Pull-ups
100 Push-ups
100 Sit-ups
100 Squats",For Time,Complete all reps of each exercise before moving to the next.,
Benchmark,Girl,Barbara,"20 Pull-ups
30 Push-ups
40 Sit-ups
50 Squats","20 Pull-ups
30 Push-ups
40 Sit-ups
50 Squats",For Time,5 rounds for time,
Benchmark,Girl,Chelsea,"5 Pull-ups
10 Push-ups
15 Squats","5 Pull-ups
10 Push-ups
15 Squats",Pass/Fail,Each min on the min for 30 min,
Benchmark,Girl,Cindy,"5 Pull-ups
10 Push-ups
15 Squats","5 Pull-ups
10 Push-ups
15 Squats",AMRAP  (rounds),AMRAP 20 min,
Benchmark,Girl,Diane,"Deadlift 155 lbs
Handstand push-ups","Deadlift 225 lbs
Handstand push-ups",For Time,21-15-9 reps for time,
Benchmark,Girl,Elizabeth,"Clean 95 lbs
Ring Dips","Clean 135 lbs
Ring Dips",For Time,21-15-9 reps for time,
Benchmark,Girl,Fran,"Thruster 65 lbs
Pull-ups","Thruster 95 lbs
Pull-ups",For Time,21-15-9 reps for time,
Benchmark,Girl,Grace,"
30 Reps For Time
Clean and Jerk 95 lbs","
30 Reps For Time
Clean and Jerk 135 lbs",For Time,21-15-9 rep for time,
Benchmark,Girl,Helen,"400 meter run
35lb Kettlebell swing x 21
Pull-ups 12 reps","400 meter run
52lb pood Kettlebell swing x 21
Pull-ups 12 reps",For Time,3 rounds for time,
Benchmark,Girl,Isabel,Snatch 95 pounds,Snatch 135 pounds,For Time,30 reps for time,
Benchmark,Girl,Jackie,"1000 meter row
Thruster 35 lbs (50 reps)
Pull-ups (30 reps)","1000 meter row
Thruster 45 lbs (50 reps)
Pull-ups (30 reps)",For time,For time,
Benchmark,Girl,Karen,14lb Wall-ball 150 shots,20lb Wall-ball 150 shots,For time,For time,
Benchmark,Girl,"Linda
(aka ""3 bars of death"")","Deadlift 1 1/2 BW
Bench BW
Clean 3/4 BW","Deadlift 1 1/2 BW
Bench BW
Clean 3/4 BW",For time,"10/9/8/7/6/5/4/3/2/1 rep
rounds for time",
